Label,XPath,Strategy,Matches,Action,Value,Property
firstName,"//*[@id=""firstName""]",id,1,click,,text
firstName,"//*[@id=""firstName""]",id,1,Input,CLARK,text
email,"//*[@id=""email""]",id,1,click,,email
email,"//*[@id=""email""]",id,1,Input,CLARK@GMAIL.COM,email
middleName,"//*[@id=""middleName""]",id,1,click,,text
middleName,"//*[@id=""middleName""]",id,1,Input,S,text
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,,tel
mobileNumber,"//*[@id=""mobileNumber""]",id,1,Input,745-8962,tel
lastName,"//*[@id=""lastName""]",id,1,click,,text
lastName,"//*[@id=""lastName""]",id,1,Input,KENT,text
Choose an option,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,,submit
National Identification Card,"//*[@data-testid=""option-1""]",data-testid,1,click,,li
Add profile picture,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]",data-testid+text,1,click,,submit
Upload,"//*[@data-testid=""upload-button""]",data-testid,1,click,,label
file-upload,"//*[@id=""file-upload""]",id,1,click,,file
file-upload,"//*[@id=""file-upload""]",id,1,Input,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png,file
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,,submit
otp-input-0,"//*[@id=""otp-input-0""]",id,1,click,,text | max:1
otp-input-0,"//*[@id=""otp-input-0""]",id,1,Input,1,text | max:1
otp-input-1,"//*[@id=""otp-input-1""]",id,1,Input,2,text | max:1
otp-input-2,"//*[@id=""otp-input-2""]",id,1,Input,1,text | max:1
otp-input-3,"//*[@id=""otp-input-3""]",id,1,Input,2,text | max:1
otp-input-4,"//*[@id=""otp-input-4""]",id,1,Input,1,text | max:1
otp-input-5,"//*[@id=""otp-input-5""]",id,1,Input,2,text | max:1
Verify OTP,"//*[@data-testid=""submit-button""]",data-testid,1,click,,submit
FLOW BILL,"//*[@data-testid=""option-0""]",data-testid,1,click,,li
Select File,"//*[@data-testid=""file-upload-label""]",data-testid,1,click,,label
upload-front-input,"//*[@id=""upload-front-input""]",id,1,click,,file
upload-front-input,"//*[@id=""upload-front-input""]",id,1,Input,C:\fakepath\FlowBill.jpg,file
Continue,"//*[@data-testid=""continue-button""]",data-testid,1,click,,submit
Upload Back of ID,"//*[@data-testid=""file-upload-back-label""]",data-testid,1,click,,label
upload-back-input,"//*[@id=""upload-back-input""]",id,1,click,,file
upload-back-input,"//*[@id=""upload-back-input""]",id,1,Input,C:\fakepath\DAVID_N_B.png,file
Choose an option,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[3]/div[1]/div[1]/button[1],absolute,1,click,,submit
mailingCity,"//*[@id=""mailingCity""]",id,1,click,,text | max:50
mailingCity,"//*[@id=""mailingCity""]",id,1,Input,TRINCITY,text | max:50
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,,div
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1],absolute,1,click,,radio
permanentAddressSameAsMailing,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[1]/label[1]/input[1],absolute,1,Input,true,radio
div,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/div[1]/div[1],absolute,1,click,,div
utilityDocOption,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1],absolute,1,click,,radio
utilityDocOption,/html/body/div[1]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[4]/div[3]/div[2]/div[1]/label[1]/input[1],absolute,1,Input,true,radio
Save and Continue,"//*[@data-testid=""save-and-continue-button""]",data-testid,1,click,,submit
